CAP,Comune,Regione,Latitudine,Longitudine
67010,Barete,Abruzzi,42.4501,13.2806
67012,San Giovanni,Abruzzi,42.4642,13.2584
67012,Cagnano Amiterno,Abruzzi,42.4574,13.2279
67013,Campotosto,Abruzzi,42.5588,13.368
67013,Mascioni,Abruzzi,42.5282,13.3492
67013,Poggio Cancelli,Abruzzi,42.5623,13.327
67013,Ortolano,Abruzzi,42.5193,13.4238
67014,Capitignano,Abruzzi,42.5204,13.3012
67015,Cesaproba,Abruzzi,42.4985,13.1864
67015,Marana Di Montereale,Abruzzi,42.4967,13.2236
67015,Aringo,Abruzzi,42.5554,13.2671
67015,Marana,Abruzzi,42.4967,13.2236
67015,Montereale,Abruzzi,42.5233,13.2459
67015,Ville Di Fano,Abruzzi,42.5248,13.1864
67015,San Giovanni Paganica,Abruzzi,42.5057,13.2762
67017,San Lorenzo Di Pizzoli,Abruzzi,42.4253,13.3206
67017,Pizzoli,Abruzzi,42.436,13.2989
67017,Marruci,Abruzzi,42.4306,13.3097
67019,Sella Di Corno,Abruzzi,42.3666,13.1814
67019,Vigliano,Abruzzi,42.3492,13.2188
67019,Scoppito,Abruzzi,42.3695,13.2594
67020,Castelnuovo,Abruzzi,42.2957,13.6282
67020,Villa Santa Lucia Degli Abruzzi,Abruzzi,42.3329,13.7779
67020,Gagliano Aterno,Abruzzi,42.126,13.7002
67020,Castelnuovo Di San Pio Delle Camere,Abruzzi,42.2957,13.6282
67020,San Pio Delle Camere,Abruzzi,42.2842,13.6557
67020,Santo Stefano Di Sessanio,Abruzzi,42.3434,13.6448
67020,Molina Aterno,Abruzzi,42.149,13.7354
67020,San Benedetto In Perillis,Abruzzi,42.1838,13.77
67020,Fagnano Alto,Abruzzi,42.2472,13.6721
67020,Acciano,Abruzzi,42.1768,13.7178
67020,Castel Di Ieri,Abruzzi,42.1135,13.742
67020,Beffi,Abruzzi,42.1931,13.6788
67020,Navelli,Abruzzi,42.2372,13.7296
67020,Goriano Valli,Abruzzi,42.1807,13.6693
67020,Collepietro,Abruzzi,42.2209,13.781
67020,Villa Sant'Angelo,Abruzzi,42.2704,13.5371
67020,Castelvecchio Calvisio,Abruzzi,42.3113,13.6872
67020,Carapelle Calvisio,Abruzzi,42.2991,13.6864
67020,Tione Degli Abruzzi,Abruzzi,42.2039,13.6357
67020,Sant'Eusanio Forconese,Abruzzi,42.2895,13.5243
67020,Caporciano,Abruzzi,42.25,13.6746
67020,Fontecchio,Abruzzi,42.2303,13.6061
67020,Prata D'Ansidonia,Abruzzi,42.2779,13.6083
67020,Fossa,Abruzzi,42.2927,13.4878
67020,Calascio,Abruzzi,42.326,13.697
67020,Carrufo,Abruzzi,42.3294,13.7719
67020,Civitaretenga,Abruzzi,42.2458,13.7059
67020,Tussio,Abruzzi,42.2651,13.6407
67020,Roccapreturo,Abruzzi,42.1963,13.6976
67021,Picenze,Abruzzi,42.3206,13.5404
67021,Barisciano,Abruzzi,42.3246,13.5904
67022,Capestrano,Abruzzi,42.2681,13.7678
67023,Castel Del Monte,Abruzzi,42.3654,13.7259
67024,Castelvecchio Subequo,Abruzzi,42.1288,13.7287
67025,Ofena,Abruzzi,42.3254,13.7586
67026,Poggio Picenze,Abruzzi,42.3206,13.5404
67027,Raiano,Abruzzi,42.1016,13.8139
67028,San Demetrio Ne' Vestini,Abruzzi,42.2896,13.5552
67029,Secinaro,Abruzzi,42.1506,13.6814
67030,Villalago,Abruzzi,41.9351,13.8387
67030,Corfinio,Abruzzi,42.1215,13.8394
67030,Barrea,Abruzzi,41.7554,13.9909
67030,Anversa Degli Abruzzi,Abruzzi,41.9948,13.8038
67030,Civitella Alfedena,Abruzzi,41.7653,13.9427
67030,Castrovalva,Abruzzi,41.9829,13.8134
67030,Villa Scontrone,Abruzzi,41.7521,14.0639
67030,Villetta Barrea,Abruzzi,41.7765,13.9389
67030,Opi,Abruzzi,41.7784,13.8293
67030,Alfedena,Abruzzi,41.7354,14.035
67030,Torre Dei Nolfi,Abruzzi,42.0439,13.8694
